clave,nombre,poblacií_n_de_3_aí±os_y_míçs_que_habla_alguna_lengua_indí_gena,p_masculina_3_aí±os_y_míçs_habla_lengua_indí_gena,p_femenina_3_aí±os_míçs_habla_lengua_indí_gena,p_3_aí±os_y_míçs_habla_lengua_indí_gena_no_habla_espaí±ol,p_masculina_3_aí±os_míçs_habla_lengua_indí_gena_no_espaí±ol,p_femenina_3_aí±os_y_míçs_habla_lengua_indí_gena_no_espaí±ol,p_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,p_masculina_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±o,p_femenina_3_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,poblacií_n_5_aí±os_y_míçs_habla_lengua_indí_gena,p_5_aí±os_míçs_habla_lengua_indí_gena_no_habla_espaí±ol,p_5_aí±os_y_míçs_habla_lengua_indí_gena_habla_espaí±ol,poblacií_n_en_hogares_censales_indí_genas,poblacií_n_de_5_aí±os_y_míçs_que_habla_lengua_indí_gena,p_5_aí±os_y_míçs_habla_lengua_indí_gena_y_espaí±ol,p_5_aí±os_y_míçs_habla_lengua_indí_gena_y_habla_espaí±ol
68,Villa Purificacií_n,14,8,6,0,0,0,7,5,2,14,0,7,35,97,20,75
69,Quitupan,8,3,5,0,0,0,2,2,0,7,0,2,16,49,0,41
70,El Salto,484,265,219,3,0,3,323,174,149,476,2,321,1252,321,0,305
71,San Cristí_bal de la Barranca,42,21,21,2,1,1,33,18,15,37,1,29,48,16,0,15
72,San Diego de Alejandrí_a,7,6,1,0,0,0,1,1,0,7,0,1,24,12,0,6
73,San Juan de los Lagos,119,72,47,0,0,0,55,36,19,117,0,55,215,108,0,103
74,San Juliíçn,21,12,9,0,0,0,8,6,2,21,0,8,37,59,0,52
75,San Marcos,1,1,0,0,0,0,0,0,0,1,0,0,4,4,0,3
76,San Martí_n de Bolaí±os,97,45,52,1,1,0,94,44,50,96,1,93,179,56,0,52
77,San Martí_n Hidalgo,37,23,14,0,0,0,25,15,10,37,0,25,64,47,0,42
78,San Miguel el Alto,109,67,42,1,0,1,32,22,10,103,1,31,195,59,1,51
79,Gí_mez Farí_as,5,3,2,0,0,0,1,0,1,5,0,1,7,24,0,23
80,San Sebastiíçn del Oeste,3,2,1,0,0,0,0,0,0,2,0,0,1,30,0,26
81,Santa Marí_a de los íngeles,2,0,2,0,0,0,2,0,2,2,0,2,0,12,0,10
82,Sayula,128,78,50,0,0,0,91,62,29,123,0,91,314,257,0,244
83,Tala,265,144,121,0,0,0,202,111,91,263,0,202,552,88,0,79
84,Talpa de Allende,23,15,8,0,0,0,8,6,2,23,0,8,63,27,0,25
85,Tamazula de Gordiano,99,57,42,1,1,0,53,32,21,99,1,53,197,331,2,307
86,Tapalpa,25,17,8,0,0,0,11,6,5,25,0,11,55,71,0,58
87,Tecalitlíçn,24,18,6,0,0,0,13,10,3,24,0,13,49,43,0,41
88,Tecolotlíçn,21,13,8,0,0,0,5,2,3,20,0,5,51,45,0,44
89,Techaluta de Montenegro,3,1,2,0,0,0,0,0,0,3,0,0,1,15,0,12
90,Tenamaxtlíçn,17,11,6,0,0,0,9,6,3,17,0,9,41,72,0,60
91,Teocaltiche,123,70,53,1,0,1,74,45,29,117,1,73,237,106,0,98
92,Teocuitatlíçn de Corona,16,10,6,0,0,0,5,5,0,16,0,5,41,26,0,26
93,Tepatitlíçn de Morelos,250,148,102,1,1,0,87,54,33,243,1,87,560,301,1,278
94,Tequila,75,46,29,0,0,0,19,14,5,75,0,19,190,76,0,71
95,Teuchitlíçn,8,6,2,0,0,0,5,4,1,8,0,5,25,18,0,14
96,Tizapíçn el Alto,36,23,13,0,0,0,17,12,5,35,0,17,86,95,0,83
97,Tlajomulco de Zí_í±iga,2082,1080,1002,13,5,8,1450,756,694,2035,6,1441,4280,464,2,426
98,Tlaquepaque,3250,1697,1553,30,8,22,2350,1243,1107,3175,26,2320,7339,2557,16,2401
99,Tolimíçn,26,20,6,0,0,0,11,10,1,26,0,11,36,14,0,10
100,Tomatlíçn,312,162,150,75,22,53,205,119,86,290,59,199,482,96,1,91
101,Tonalíç,1761,1042,719,15,6,9,1062,624,438,1719,14,1050,3389,1306,11,1217
102,Tonaya,9,6,3,0,0,0,6,4,2,9,0,6,28,12,0,9
103,Tonila,9,5,4,0,0,0,4,3,1,9,0,4,21,3,0,3
104,Totatiche,37,16,21,0,0,0,30,14,16,36,0,29,60,41,1,37
105,Tototlíçn,14,9,5,0,0,0,5,4,1,14,0,5,40,60,0,52
106,Tuxcacuesco,48,31,17,0,0,0,47,30,17,47,0,46,72,48,0,46
107,Tuxcueca,11,6,5,0,0,0,5,4,1,10,0,5,22,45,0,40
108,Tuxpan,189,105,84,3,2,1,108,62,46,187,2,108,302,158,0,150
109,Unií_n de San Antonio,26,16,10,0,0,0,7,5,2,25,0,7,56,33,1,31
110,Unií_n de Tula,14,10,4,0,0,0,7,5,2,13,0,7,41,53,0,53
111,Valle de Guadalupe,10,5,5,0,0,0,3,1,2,10,0,3,21,12,0,10
112,Valle de Juíçrez,14,10,4,0,0,0,7,4,3,14,0,7,43,29,0,27
113,San Gabriel,537,308,229,16,5,11,492,290,202,524,16,479,694,31,0,24
114,Villa Corona,26,15,11,0,0,0,9,5,4,26,0,9,69,137,0,128
115,Villa Guerrero,289,147,142,68,33,35,203,106,97,260,47,197,341,176,22,148
